"Data Source","World Development Indicators",

"Last Updated Date","2025-01-28",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Central Europe and the Baltics","CEB","Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.LO.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Switzerland","CHE","Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.LO.ZS","","","","","","","","","","","","","","","","","","","","","19.4400005340576","","","","","","","","","","","","","","","","","","","","","","","","","","","","","95.9199981689453","95.9700012207031","96.0500030517578","96.2799987792969","96.3662109375","97.0199966430664","97.0899963378906","96.8899993896484","96.9631195068359","97.0899963378906","97.1900024414062","97.2358551025391","97.9603500366211","98.0753860473633","98.1784896850586",
"Channel Islands","CHI","Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.LO.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.LO.ZS","","","","","","","","","","","30.3999996185303","","","","","","","","","","","","34.0400009155273","","","","","","","","","","","","","","","","","","68.1900024414062","","","70.8099975585938","76","","71.6900024414062","75.8399963378906","74.4100036621094","75.370002746582","75.0500030517578","75.8899993896484","76.7352600097656","77.9499969482422","78.7151336669922","80.370002746582","79.4994888305664","81.4300003051758","81.6496810913086","82.3024520874023","84.4499969482422","86.4916305541992","84.6100006103516","87.1771469116211",
"China","CHN","Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.LO.ZS","","","","","","","","","","","","","","","","","","","","","","","22.7999992370605","","","","","","","","36.4000015258789","","","","","","","","","","52.2599983215332","","","","","","","","","","65.3199996948242","","","","","","","","","","72.4000015258789","","","",
"Cote d'Ivoire","CIV","Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.LO.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","41.7599983215332","","","","","","","","","","","","","","25.2712841033936","18.2702083587646","24.7399997711182","","19.4832496643066","","","14.9650325775146","","26.6700000762939","25.4095935821533","",
"Cameroon","CMR","Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.LO.ZS","","","","","","","","","","","","","","","","","4.71999979019165","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23.8600006103516","","","36.2299995422363","","","","40.3716506958008","","","","30.3271598815918","","","","","",
"Congo, Dem. Rep.","COD","Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.LO.ZS","","","","","","","","","","","","","","","","","","","","","","","","","16.1000003814697","","","","","","","","","","","","","","","","","","","","","","","","","","","","45.9228591918945","42.4500007629395","","","50.6599998474121","","48.330020904541","","","","","",
"Congo, Rep.","COG","Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.LO.ZS","","","","","","","","","","","","","","","","","","","","","","","","","19.7199993133545","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","39.122859954834","","","","","","","","",
"Colombia","COL","Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.LO.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","41.2700004577637","","","","","","","","","37.6800003051758","38.3699989318848","39.7200012207031","40.7999992370605","37.8800010681152","41.9300003051758","43.6399993896484","43.1100006103516","43.75","44.9199981689453","45.9300003051758","47.5299987792969","48.6800003051758","49.5499992370605","51.2900009155273","52.2900009155273","53.6300010681152","55.1800003051758","57.7400016784668","58.0499992370605","60.1399993896484","61.0309257507324",
"Comoros","COM","Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.LO.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15.6832733154297","","","","","","","24.8767967224121","31.6201496124268","",
"Cabo Verde","CPV","Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.LO.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29.3500003814697","","","","","","","","",
