Country Name,last_gdp_per_capita,avg_gdp_per_capita,avg_pop_growth,avg_saving_rate,avg_resource_rents,avg_educ_attained,high_resources,OECD
Marshall Islands,6678.34239060448,3806.73026311322,-1.07057910680528,18.6034777771895,0,85.2091979980469,0,0
Mauritania,2120.82320358953,1477.53667795029,2.83784878700769,31.2017672177883,14.8061720349979,25.3249971389771,1,0
Mauritius,11613.0441587588,8132.07619737376,0.293509227113174,17.7457849838915,0.0287983926873062,58.177670112023,0,0
Mexico,13790.0243428344,9721.19929355754,1.20678111223116,20.1373513840396,4.12254121051833,55.8563149192117,0,1
Moldova,6729.41286813969,2734.15627118095,-0.733145679579782,17.8146015684742,0.239266737381898,95.7893802418428,0,0
Mongolia,5838.63108083902,2869.11716629761,1.62521241664102,25.6808204617642,18.8905372847701,86.7172880906325,1,0
Montenegro,12221.4775546967,6405.69876915983,0.0754529572825739,7.93534657835834,0.705529065441265,91.8101536677434,0,0
Morocco,3771.4462890625,2903.74279785156,1.2367375796849,32.9451023068917,2.48818735711121,30.6473579406738,0,0
Mozambique,622.985619320596,506.008780857826,2.66691547959655,11.1218678824677,11.0602614418086,16.8194233576457,1,0
Namibia,4168.28521087347,4228.75340261387,2.13193124943307,19.0879215397487,1.95146198781184,43.5192943572998,0,0
Nepal,1377.62603571292,721.916204346265,0.86545327777623,33.1449938121975,0.937671502427539,29.9539375305176,0,0
Netherlands,64572.0059558854,48309.0074319887,0.511445018006162,26.1128937657914,0.577455342388388,89.9138259887695,0,1
New Caledonia,33516.363085906,30378.7518060484,1.17717904132172,23.1131590422788,5.9961696403084,83.5033721923828,0,0
New Zealand,48280.8114166238,34715.9085882992,1.28706493857063,19.1412179577955,1.60432359175637,80.5119901384626,0,1
Nicaragua,2612.87066241288,1672.5710495581,1.33412555202924,17.6486723966011,2.40435271045846,34.686269124349,0,0
Niger,642.937917863471,452.998741611371,3.5654750187685,19.6811885914163,8.01912727236959,7.29106106076922,0,0
North Macedonia,8624.29360948531,4964.23758263723,-0.410666027374579,24.0719954416075,0.975669376611817,63.8787872314453,0,0
Norway,87925.0944188399,77698.1374189295,0.886361287592058,37.4703994635551,8.4571013643744,98.9172881276984,0,1
Oman,21549.8368728192,18463.9112566449,3.36258837620962,32.8344733369135,34.4485306889014,57.4189987182617,1,0
Pakistan,1365.27743222493,1116.28726096994,2.07096397884895,14.44463949883,1.93346693584412,34.5621964772542,0,0
Palau,15899.4224911152,12075.3372074722,-0.26719137369655,-13.2656818579699,0,95.1885706583659,0,0
Panama,18686.4050961265,10399.1127006868,1.71853278906095,27.7663461954519,0.341330914023877,58.1951997930353,0,0
Papua New Guinea,2957.68262498549,1875.70882984852,2.76598664301263,28.9298471350702,20.4485187246593,32.4970703125,1,0
Paraguay,6276.35113919957,4454.91978390617,1.30553738501978,21.8916024164835,1.70171342077559,42.6354545246471,0,0
Peru,7906.58502858,5020.93724008916,1.0690222683965,20.3971114763805,7.23654988044231,56.4259195327759,0,0
Philippines,3804.8725797521,2321.75191110856,1.62685476676211,33.8683051728078,1.23012684471393,63.373738861084,0,0
Poland,22056.6661704127,12279.4841859066,-0.218251636745496,17.9886327814107,1.95405373887313,88.8874618530273,0,1
Portugal,27331.2094945255,20677.7197866103,0.144411600064857,15.9081102243798,0.19583222610568,45.1662473678589,0,1
Qatar,80195.874646942,66238.0721819217,6.11266506790682,51.3772417354691,31.8989297245286,65.2167015075684,1,0
Romania,18404.2730871704,8856.39772457206,-0.686280444471697,19.7122499416105,1.79410147980371,88.8484034818761,0,0
Russian Federation,13817.0458984375,9516.69053649902,-0.0970310091787761,28.3685803333897,14.8157716317284,98.2011245727539,1,0
Rwanda,1010.2689290184,592.489980883295,2.24182608583288,13.4932577893303,6.04289268929117,16.9862468719482,0,0
Samoa,4330.17840531329,3331.44180069868,0.766082034160957,30.1127294607028,0.404148224858786,91.0319862365723,0,0
San Marino,54264.570495898,52308.1646242347,1.02765838178035,35.4961490689533,0,85.6399993896485,0,0
Saudi Arabia,32093.9622984711,21784.5878726821,3.18936551320969,37.8082597594369,37.4292786498046,66.927463054657,1,0
Senegal,1706.44218024762,1222.95128453429,2.58069606595088,17.5001348239276,3.00765896870753,13.1548013687134,0,0
Serbia,12281.5058488303,6128.94627974361,-0.540413723022994,15.6999474564584,1.69035734316823,80.3360263600069,0,0
Seychelles,17879.2396545075,13319.6071459465,0.911772608643487,13.3394742432122,0.120265049891735,69.620002746582,0,0
Sierra Leone,757.85833603088,696.927379833645,2.80253083968484,28.0705207408574,10.464731339287,32.2123527526856,1,0
Singapore,84734.2559206054,49717.4164017781,1.67507322559327,44.1509866865967,0.0304985243790047,78.2299991183811,0,0
Slovak Republic,24491.3771867262,15860.2403115256,0.0236539189192881,22.1926430890166,0.300941702115688,99.1960772000826,0,0
Slovenia,32610.110922729,21994.3357877143,0.279166565437206,26.1023866408557,0.235696588289413,96.8623996310764,0,1
Solomon Islands,2041.6364912646,1677.38880190143,2.58196105741921,11.1333300259017,15.0388372350484,42.9384078979492,1,0
South Africa,6022.5425418935,6032.79346045276,1.25877794081419,15.5600440884565,5.25703499971865,71.4817675714907,0,0
South Sudan,1080.14718624765,1375.87731816094,2.86644191824724,8.39515268223924,31.3482199766895,33.1699981689453,1,0
Spain,33509.0127982139,27592.5898065214,0.749658910606745,21.0028034021016,0.0540071746377474,71.932393124229,0,1
Sri Lanka,3827.96495637489,2740.81703665159,0.629987556228993,26.9605074625993,0.139667342081994,73.5000825769761,0,0
Sudan,2183.44140625,1004.8994178772,2.55089890872525,19.2598210878001,9.1495223848129,26.298002243042,0,0
Suriname,5494.07409425517,5710.98481509682,1.24083595933812,51.4959677666917,13.846255399045,47.4641256332397,1,0
Sweden,55516.836477474,49621.7492150479,0.723129860358289,28.1480616962118,0.698753891931152,90.3305595799496,0,1
Switzerland,99564.710026145,73730.2468750655,0.910170550224872,34.6570002728708,0.0146684824881918,96.9519602457682,0,1
Syrian Arab Republic,1051.67149587463,1419.82239526894,1.55948726173733,18.1155195017299,6.27717554556163,31.5199999809265,0,0
Tajikistan,1160.81187026311,687.896935358629,2.14552532407969,25.2750377302167,2.37090030894748,95.6533330281575,0,0
Tanzania,1224.48962402344,790.841217041016,2.88917329215849,27.2552519316121,5.29516588100825,10.8916426599026,0,0
Thailand,7182.02525812415,4925.22007633504,0.585744347739938,29.1543669394386,2.296490210639,45.7106603894915,0,0
Timor-Leste,1502.51963828284,1062.4680805911,2.10779573951359,131.360519637845,31.5730376066422,43.7803993225098,1,0
Togo,985.697512629974,712.757569752496,2.58745385230705,16.9457460603173,10.1084373841281,31.7936779658,1,0
Tonga,4933.07479143113,3484.48463309076,0.102879910482719,20.9959300316624,0.0415885135660935,86.315242767334,0,0
Tunisia,3977.69516639644,3610.31718756976,0.974565112544064,15.8719914413238,4.19647244317425,40.6415201822917,0,0
Turkiye,13105.6585678319,9095.24319894104,1.15995596839686,24.5427223047461,0.473084746672371,46.9424967514841,0,0
Uganda,1002.30913917142,645.288928074651,3.07570516075899,19.7353341873189,11.7937385908371,23.9102174758911,1,0
Ukraine,5069.703125,2832.71044158936,-1.17092132347085,16.6365716133329,4.22156757012726,88.5400009155273,0,0
United Kingdom,49463.8554617343,41424.5117023152,0.635419109326277,14.5408963000489,0.737578318603456,99.2367980957031,0,1
United States,82769.4122114216,53626.7125523351,0.760505475222881,18.08180053788,0.889008158414562,95.347332603053,0,1
Uruguay,22797.8111731861,12996.554158482,0.168225274653933,15.3237150833806,1.32470201617926,54.774310168098,0,0
Uzbekistan,2849.51461071911,1628.99192624729,1.56716868665824,31.6781094660012,16.862356797049,99.9112510681152,1,0
Vanuatu,3515.23633611798,2580.69124302604,2.35553298382956,24.0878419603034,0.76839996714394,36.1789073944092,0,0
"Venezuela, RB",15943.6127197163,8663.22092819345,0.675280352450718,30.1541771913751,20.0728498409002,54.2228505876329,1,0
Viet Nam,4282.08851724506,2019.11860753324,1.14240604116543,31.8494945334266,7.1244774730919,58.3432899475098,0,0
"Yemen, Rep.",477.409028678688,838.402866255492,3.03144191025815,7.06617998622742,23.7119755460327,31.0888071060181,1,0
Zambia,1330.72780576709,1143.75808936739,3.14603803786094,40.0683868716784,14.4872646317644,56.9413496653239,1,0
Zimbabwe,2156.0340040333,1197.22912315899,1.3623737942936,7.36935239067248,7.05689105333067,66.8268076578776,0,0
